REGION,COUNTRY,NAME,LAT,LON,LAT_DEG,LAT_MIN,LAT_HEMI,LON_DEG,LON_MIN,LON_HEMI,INDEX_NO,Field10,Field11,Combo192,Combo206,Combo210,Combo196,Combo218,Combo198,Combo216,Combo231,Combo223,Combo225,Combo234,Combo236,Field24,Combo238,Combo240,Combo242,Combo244,Combo246,Combo248,Combo254,Combo256,Combo258,Combo260,Combo264,Combo262,Combo266,Combo268,Combo270,Combo272,Combo274,Combo276,Combo278,Combo280,Combo282,Combo284,Combo288,Combo290,Combo292,Combo294,Combo296,Combo304,Combo300,Combo302,Combo306,Combo308,Combo310,Combo312,Combo317,Combo321,Combo319,Combo323,Combo325,Combo327,Combo329,Combo332,Combo335,Combo337,Combo339,Combo341,Combo343,Combo345,Combo347,Combo349,Combo351
60,IS,KEFLAVIK,64.0,-22.55,64,0,N,22,33,W,70,181,38604,V,OR,F,N,N,Y,Y,,A,A,H,,5,,Y,Y,N,N,Y,Y,Y,,,N,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,,N,N,,Y,,,,,Y,Y,,,,,Y,Y,Y,Y,Y,Y,C,,S
60,IS,STRAUMSVIK,64.05,-22.05,64,3,N,22,3,W,75,181,38604,V,CN,F,N,N,,Y,N,,A,,,0,L,Y,Y,N,N,N,,Y,,,,,,,,Y,,,,Y,,Y,Y,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,
60,IS,HAFNARFJORDUR,64.06666666666666,-21.95,64,4,N,21,57,W,80,181,38604,V,CN,F,N,Y,N,N,,L,J,L,J,4,L,Y,,Y,,Y,Y,Y,,,,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,Y,,Y,,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,B,,M
60,IS,SKERJAFJORDUR,64.15,-22.016666666666666,64,9,N,22,1,W,90,181,38603,V,CN,G,N,N,N,Y,,M,M,P,M,4,L,Y,,,,,Y,Y,,,,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,,N,N,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,C,,
60,IS,REYKJAVIK,64.15,-21.933333333333334,64,9,N,21,56,W,100,181,38603,M,CB,G,Y,N,N,Y,,L,G,L,H,4,L,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,,,,,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,B,L,L
60,IS,GRUNDARTANGI,64.26666666666667,-22.0,64,16,N,22,0,W,105,181,38606,M,CB,G,N,N,N,N,,H,F,H,,5,L,Y,,N,N,N,Y,Y,,,,Y,,,,Y,Y,Y,,Y,,Y,,,,,,Y,N,Y,,Y,,,,,,Y,,,,,Y,Y,Y,Y,,,C,,
60,IS,BILDUDALUR,65.68333333333334,-23.6,65,41,N,23,36,W,160,181,38030,V,CN,F,N,Y,Y,Y,N,N,J,N,,3,,Y,,N,N,N,,,,,,,,,,Y,,,,,,Y,,,,,Y,,N,N,,,,,,,Y,,Y,,,,Y,Y,N,N,N,N,C,,
60,IS,THINGEYRI,65.88333333333334,-23.483333333333334,65,53,N,23,29,W,170,181,38030,V,CN,E,N,N,Y,Y,N,M,C,N,,3,,Y,,N,N,N,,,,,,,Y,,,Y,,,,,,Y,,,,,Y,,N,N,,,,,,,Y,,Y,,,,Y,Y,N,N,N,N,C,,
60,IS,BOLUNGAVIK,66.16666666666667,-23.233333333333334,66,10,N,23,14,W,185,181,38690,V,CB,F,N,,Y,,,A,,M,,0,L,,,N,N,N,,,,,,,,,,Y,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
60,IS,ISAFJORDUR,66.06666666666666,-23.116666666666667,66,4,N,23,7,W,190,181,38030,V,CN,G,N,N,Y,,,L,H,L,M,2,L,Y,Y,Y,N,Y,Y,Y,,,N,Y,Y,Y,,N,Y,Y,Y,Y,,Y,,,,,Y,Y,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,B,,M
200,IS,SAUDARKROKUR,65.75,-19.666666666666668,65,45,N,19,40,W,250,181,38670,V,CN,P,N,N,Y,Y,N,A,N,M,,1,,Y,,N,N,Y,Y,,,,N,N,Y,,,Y,,,,Y,,Y,,,,,Y,,N,N,,,,,,,,,,,,,Y,,N,N,N,N,,,
200,IS,SIGLUFJORHURD,66.15,-18.916666666666668,66,9,N,18,55,W,260,181,,V,CN,F,N,Y,Y,Y,N,L,A,L,,2,,Y,Y,N,N,Y,Y,Y,,,N,Y,,,,Y,Y,Y,,Y,,Y,,,,,Y,,,N,N,N,N,N,N,N,N,,,,,,Y,Y,Y,Y,Y,Y,B,,S
200,IS,DALVIK,65.98333333333333,-18.516666666666666,65,59,N,18,31,W,280,181,,V,CB,F,,,,,,N,B,B,,0,,Y,,,,,N,,,,,,,,,Y,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
200,IS,AKUREYRI,65.68333333333334,-18.083333333333332,65,41,N,18,5,W,310,181,,V,CN,F,N,N,Y,Y,N,A,A,J,,2,,Y,,N,N,Y,N,Y,,,N,Y,Y,Y,,Y,Y,,,Y,,Y,,,,,Y,,,N,Y,N,N,,,,Y,,,,,,Y,Y,Y,Y,,,C,M,S
200,IS,HUSAVIK,66.03333333333333,-17.333333333333332,66,2,N,17,20,W,320,181,38670,V,CN,P,N,N,N,N,N,L,A,M,,1,,Y,,N,N,N,N,Y,Y,,N,N,Y,,,Y,,,Y,Y,,Y,,,,,Y,,,N,,,,,,,,,,Y,,,Y,Y,Y,Y,,,,,
360,IS,SEYDHISFJORDHUR,65.26666666666667,-14.0,65,16,N,14,0,W,400,181,,S,CN,F,N,N,N,N,N,A,J,M,,2,,Y,Y,Y,N,N,,Y,,,N,N,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,Y,N,N,Y,Y,,,,,Y,,Y,,,,Y,Y,Y,Y,,,B,,S
360,IS,NESKAUPSTADUR,65.15,-13.683333333333334,65,9,N,13,41,W,420,181,,V,CN,F,N,N,N,Y,,A,A,L,,2,,Y,,Y,N,N,N,Y,,,N,N,Y,,,N,Y,,,Y,,Y,,,,,Y,,,N,Y,,,,,,,,N,N,Y,Y,Y,Y,Y,Y,,,C,,S
360,IS,ESKIFJORDHUR,65.06666666666666,-14.016666666666667,65,4,N,14,1,W,430,181,,V,CN,F,N,N,Y,Y,N,A,A,L,,2,,Y,Y,N,N,N,,Y,,,N,N,,,,Y,,,,Y,,Y,,,,,Y,,,N,,Y,,,,,Y,,Y,,,,,Y,Y,,,,C,,S
360,IS,BUDIR,64.93333333333334,-14.016666666666667,64,56,N,14,1,W,450,181,,V,CN,F,N,N,N,Y,N,P,F,L,,2,,N,,,N,N,,,,,N,N,,,,Y,,,,,,Y,,,,,Y,,,N,,,,,,,Y,,Y,,,,,Y,N,Y,,,C,,S
360,IS,HORNABJORDUR,64.25,-15.233333333333333,64,15,N,15,14,W,480,181,38630,V,CN,F,N,N,N,Y,N,N,N,N,,4,,Y,,Y,N,Y,Y,,,,N,Y,Y,,,Y,,,Y,,,Y,,,,,Y,,,Y,,Y,,,,,,,,,,,,,Y,Y,,,C,,
490,IS,VESTMANNAEYJAR,63.43333333333333,-20.283333333333335,63,26,N,20,17,W,510,181,38610,S,CN,E,N,N,N,N,N,L,A,N,,3,M,Y,,Y,N,Y,Y,,,,N,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,Y,N,,,Y,Y,,Y,,,,Y,Y,,,,Y,Y,Y,Y,,,C,,S
540,GL,QUTDLEQ,61.516666666666666,-42.21666666666667,61,31,N,42,13,W,542,181,38060,V,CN,G,N,N,N,Y,N,A,A,,,0,M,Y,,N,N,N,,N,,N,,N,,,,,,,,,,,,,Y,,N,N,N,N,,,,,,,,N,,,,,,,,,,,N,,
540,GL,KUSANARTOQ,61.766666666666666,-42.21666666666667,61,46,N,42,13,W,543,181,38060,S,CN,G,N,N,Y,Y,N,H,E,,,6,M,Y,,N,N,N,,N,,N,,N,,,,,,,,,,,Y,,,,,,N,N,,,,,,,,N,,,,,,Y,,,,,D,,
545,GL,NANORTALIK HAVN,60.11666666666667,-45.2,60,7,N,45,12,W,560,181,38580,V,CN,P,N,N,Y,Y,N,A,A,O,,3,M,Y,Y,N,N,Y,,Y,,,N,N,,,,,,Y,Y,Y,,Y,Y,Y,,,Y,N,,N,Y,Y,,,,,Y,,,,,,,Y,Y,Y,,,C,,
545,GL,NARSAQ,60.916666666666664,-46.05,60,55,N,46,3,W,585,181,,V,CN,P,N,N,Y,Y,N,A,C,J,,3,M,N,Y,N,N,Y,N,Y,,,N,N,,,,Y,Y,Y,,,,Y,Y,Y,,,Y,N,,N,,Y,,,,,Y,,,,,,Y,Y,,Y,,,,,
545,GL,NARSARSSUAQ,61.15,-45.43333333333333,61,9,N,45,26,W,590,181,,V,CN,F,N,N,N,Y,,A,A,K,,3,M,N,Y,N,N,Y,N,N,,,N,N,,,,Y,Y,Y,,Y,,Y,Y,,,,Y,N,,N,,Y,,,,,Y,,,,,,Y,Y,Y,Y,,,C,,
545,GL,GRONNEDAL (KANGILINNGUIT),61.233333333333334,-48.1,61,14,N,48,6,W,605,181,,V,CN,F,N,Y,N,Y,,A,A,K,,3,M,Y,,,N,Y,,,Y,,,,,,,,,,,,,Y,,,,,Y,N,,,,,,,,,,,,,,,Y,Y,Y,Y,,,C,,
545,GL,PAAMUIT (FREDERIKSHAB),62.0,-49.666666666666664,62,0,N,49,40,W,610,181,,S,CN,F,N,N,Y,Y,,M,E,L,N,3,M,N,,Y,N,Y,,Y,Y,Y,N,N,,,,Y,,Y,,Y,,Y,Y,,,,Y,N,,N,Y,,,,,,Y,,,,,,Y,Y,Y,Y,,,C,,S
545,GL,NUUK,64.18333333333334,-51.75,64,11,N,51,45,W,640,181,38546,S,CN,G,Y,N,Y,Y,,D,E,K,,10,M,Y,,Y,Y,Y,N,Y,,Y,N,Y,,,,Y,Y,Y,Y,Y,,Y,,Y,,,Y,N,,N,,Y,,,,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,C,,S
